ticker,name,Sector,SubIndustry,Address,tech
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",0
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",0
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",0
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",0
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",0
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",0
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",0
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",0
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",0
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",0
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",0
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",0
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",0
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",0
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",0
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",0
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",0
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",0
LIFE,Life Technologies,Health Care,Biotechnology,"Carlsbad, California",0
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",0
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",0
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",0
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",0
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",0
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",0
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",0
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",0
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",0
LSI,LSI Corporation,Information Technology,Semiconductors,"Milpitas, California",0
LTD,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",0
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",0
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",0
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",0
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",0
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",1
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",0
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",0
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",0
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",0
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",0
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",0
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",0
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",0
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",0
MDT,Medtronic Inc.,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",0
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",0
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",0
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",0
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",0
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",0
MMM,3M Company,Industrials,Industrial Conglomerates,"St Paul, Minnesota",0
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",0
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",0
MOLX,Molex Inc.,Information Technology,Electronic Equipment & Instruments,"Lisle, Illinois",0
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",0
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",0
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",0
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",0
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",1
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",0
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",0
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",0
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",0
MYL,Mylan Inc.,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",0
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,"Hamilton, Bermuda",0
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",0
NE,Noble Corp,Energy,Oil & Gas Drilling,"Geneva, Switzerland",0
NEE,NextEra Energy Resources,Utilities,Multi-Utilities & Unregulated Power,"Juno Beach, Florida",0
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",0
NFLX,NetFlix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",1
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0
NI,NiSource Inc.,Utilities,Multi-Utilities & Unregulated Power,"Merrillville, Indiana",0
NKE,NIKE Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",0
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",0
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",0
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
NRG,NRG Energy,Utilities,Multi-Utilities & Unregulated Power,"Princeton, New Jersey",0
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",0
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",1
NTRS,Northern Trust Corp.,Financials,Diversified Financial Services,"Chicago, Illinois",0
NU,Northeast Utilities,Utilities,Multi-Utilities & Unregulated Power,"Berlin, Connecticut",0
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",0
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",0
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",0
NWSA,News Corporation,Consumer Discretionary,Publishing,"New York, New York",0
NYX,NYSE Euronext,Financials,Diversified Financial Services,"New York, New York",0
OI,Owens-Illinois Inc,Materials,Metal & Glass Containers,"Perrysburg, Ohio",0
OKE,ONEOK,Utilities,Gas Utilities,"Tulsa, Oklahoma",0
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",0
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",0
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",0
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",0
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",1
PBCT,People's United Bank,Financials,Banks,"Bridgeport, Connecticut",0
PBI,Pitney-Bowes,Industrials,Data Processing Services,"Stamford, Connecticut",0
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",0
PCG,P G & E Corp.,Utilities,Multi-Utilities & Unregulated Power,"San Francisco, California",0
PCL,Plum Creek Timber Co.,Financials,REITs,"Seattle, Washington",0
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",0
PCP,Precision Castparts,Industrials,Industrial Conglomerates,"Portland, Oregon",0
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",0
PEG,Public Serv. Enterprise Inc.,Utilities,Multi-Utilities & Unregulated Power,"Newark, New Jersey",0
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",0
PETM,"PetSmart, Inc.",Consumer Discretionary,Specialty Stores,"Phoenix, Arizona",0
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",0
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",0
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",0
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",0
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",0
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Bloomfield Hills, Michigan",0
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",0
PLD,Prologis,Financials,Diversified Financial Services,"San Francisco, California",0
PLL,Pall Corp.,Industrials,Industrial Conglomerates,"Port Washington, New York",0
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",0
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",0
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",0
PNW,Pinnacle West Capital,Utilities,Multi-Utilities & Unregulated Power,"Phoenix, Arizona",0
POM,Pepco Holdings Inc.,Utilities,Multi-Utilities & Unregulated Power,Washington D.C,0
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",0
PPL,PPL Corp.,Utilities,Multi-Utilities & Unregulated Power,"Allentown, Pennsylvania",0
PRGO,Perrigo,Health Care,Pharmaceuticals,"Allegan, Michigan",0
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey",0
PSA,Public Storage,Financials,REITs,"Glendale, California",0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",0
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",0
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas",0
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",0
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",0
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",0
QEP,QEP Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado[5]",0
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida",0
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",0
RDC,Rowan Cos.,Energy,Oil & Gas Drilling,"Houston, Texas",0
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",0
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama",0
RHI,Robert Half International,Industrials,Industrial Conglomerates,"Menlo Park, California",0
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",1
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",0
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",0
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida",0
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",0
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",0
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona",0
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",0
SAIC,SAIC,Industrials,Aerospace & Defense,"McLean, Virginia",0
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",0
SCG,SCANA Corp,Utilities,Multi-Utilities & Unregulated Power,"Cayce, South Carolina",0
SCHW,Charles Schwab,Financials,Diversified Financial Services,"San Francisco, California",0
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",0
SEE,Sealed Air Corp.(New),Materials,Paper Packaging,"Elmwood Park, New Jersey",0
SHW,Sherwin-Williams,Materials,,"Cleveland, Ohio",0
SIAL,Sigma-Aldrich,Materials,Diversified Chemicals,"St. Louis, Missouri",0
SJM,Smucker (J.M.),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",0
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
SLM,SLM Corporation,Financials,Diversified Financial Services,"Newark, Delaware",0
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",0
SNDK,SanDisk Corporation,Information Technology,Computer Storage & Peripherals,"Milpitas, California",0
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",0
SO,Southern Co.,Utilities,Multi-Utilities & Unregulated Power,"Atlanta, Georgia",0
SPG,Simon Property Group Inc,Financials,REITs,"Indianapolis, Indiana",0
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",0
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",0
SRE,Sempra Energy,Utilities,Multi-Utilities & Unregulated Power,"San Diego, California",0
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",0
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota",0
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",0
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",0
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",0
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",0
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]",0
SWY,Safeway Inc.,Consumer Staples,Food Retail,"Pleasanton, California",0
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan",0
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",0
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",0
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",0
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",0
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",0
TE,TECO Energy,Utilities,Multi-Utilities & Unregulated Power,"Tampa, Florida",0
TEG,Integrys Energy Group Inc.,Utilities,Gas Utilities,"Chicago, Illinois",0
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",0
TER,Teradyne Inc.,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",0
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",0
THC,Tenet Healthcare Corp.,Health Care,Health Care Facilities,"Dallas, Texas",0
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",0
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",0
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",0
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",0
TRIP,TripAdvisor,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Newton, Massachusetts",0
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland",0
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",0
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",0
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",0
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",1
TWC,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",0
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",0
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",0
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island",0
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",0
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",0
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",0
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",0
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",0
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",0
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",0
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",0
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",0
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,"Palo Alto, California",0
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",0
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",0
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",0
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",0
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York",0
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",1
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois",0
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",0
WAG,Walgreen Co.,Consumer Staples,Drug Retail,"Deerfield, Illinois",0
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",0
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",0
WEC,Wisconsin Energy Corporation,Utilities,Multi-Utilities & Unregulated Power,"Milwaukee, Wisconsin",0
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",0
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",0
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",0
WIN,Windstream Communications,Telecommunications Services,Integrated Telecommunications Services,"Little Rock, Arkansas",0
WLP,WellPoint Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",0
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",0
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",0
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",0
WPO,Washington Post Co B,Consumer Discretionary,Publishing,Washington D.C,0
WPX,"WPX Energy, Inc.",Energy,Integrated Oil & Gas,"Tulsa, Oklahoma",0
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",0
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington",0
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",0
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",0
X,United States Steel Corp.,Materials,Steel,"Pittsburgh, Pennsylvania",0
XEL,Xcel Energy Inc,Utilities,Multi-Utilities & Unregulated Power,"Minneapolis, Minnesota",0
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",0
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",0
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",0
XRAY,Dentsply International,Health Care,Health Care Supplies,"York, Pennsylvania",0
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",1
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",0
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",1
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",0
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah",0
ZMH,Zimmer Holdings,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",0
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",0
